USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  23356 14356 ?        Ss   18:03   0:06 /sbin/init splash
root         237  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_12]
root         238  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_13]
root         239  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_12]
root         240  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_13]
root         241  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_14]
root         242  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_14]
root         243  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_15]
root         244  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_15]
root         245  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_16]
root         246  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_16]
root         247  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_17]
root         248  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_17]
root         249  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_18]
root         250  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_18]
root         251  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_19]
root         252  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_19]
root         253  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_20]
root         254  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_20]
root         255  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_21]
root         256  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_21]
root         257  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_22]
root         258  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_22]
root         259  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_23]
root         260  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_23]
root         261  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_24]
root         262  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_24]
root         263  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_25]
root         264  0.0  0.0      0     0 ?        I<   18:03   0:00 [kworker/R-scsi_tmf_25]
root         265  0.0  0.0      0     0 ?        S    18:03   0:00 [scsi_eh_26]
